Feature,Coefficient,Points
BASE_INTERCEPT_POINTS,,562.0
PREV_POS_POS_STAT_Active_SUM_MAX,-1.508410797983215,44.0
PREV_SELLERPLACE_AREA_MIN,-1.2537720820812548,36.0
BURO_CREDIT_ACTIVE_Active_SUM,-1.1323575057365738,33.0
PREV_INS_INS_DBD_SUM_MIN,-1.0703619268800926,31.0
APP_DTI_RATIO,-0.9593312430300732,28.0
PREV_INS_INS_DPD_MAX_MAX,-0.8883674016115347,26.0
BURO_AMT_CREDIT_SUM_SUM,-0.9060929163731862,26.0
PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MAX,-0.9134766274601404,26.0
CODE_GENDER,-0.857673262736555,25.0
EXT_SOURCE_2,-0.7930570360483779,23.0
PREV_POS_POS_STAT_Completed_MEAN_MAX,-0.773009576812758,22.0
PREV_POS_CNT_INSTALMENT_MAX_MAX,-0.7402703959062789,21.0
PREV_POS_POS_STAT_Signed_MEAN_MEAN,-0.7195084101050201,21.0
PREV_LTV_RATIO_SUM,-0.6846247740630925,20.0
ORGANIZATION_TYPE,-0.6425790808829425,19.0
FLAG_DOCUMENT_3,-0.6704997621128865,19.0
PREV_ESTIMATED_TERM_MEAN,-0.6298098294201248,18.0
PREV_INS_INS_DBD_SUM_MAX,-0.620175868771853,18.0
PREV_INS_AMT_INSTALMENT_SUM_MIN,-0.5728577609102272,17.0
PREV_DAYS_LAST_DUE_MIN,-0.6039582487285329,17.0
PREV_LTV_RATIO_MEAN,-0.5498832042482086,16.0
PREV_INS_AMT_INSTALMENT_SUM_SUM,-0.5471599337370057,16.0
PREV_POS_SK_DPD_DEF_MAX_MEAN,-0.5681385797042854,16.0
PREV_INS_INS_DBD_MAX_MIN,-0.5032121599319174,15.0
FLOORSMAX_AVG,-0.49270628840086594,14.0
NAME_FAMILY_STATUS,-0.5004779782433931,14.0
BURO_DAYS_CREDIT_MIN,-0.4696506173902989,14.0
DAYS_REGISTRATION,-0.5017402468871739,14.0
PREV_POS_CNT_INSTALMENT_MAX_MEAN,-0.4057001445891666,12.0
PREV_INS_AMT_PAYMENT_MIN_MEAN,-0.4034379522708858,12.0
PREV_INS_AMT_INSTALMENT_MAX_MIN,-0.38382539377831,11.0
DAYS_ID_PUBLISH,-0.33368746041433517,10.0
BURO_DAYS_CREDIT_ENDDATE_MEAN,-0.3306176878388763,10.0
DAYS_LAST_PHONE_CHANGE,-0.32036203853200323,9.0
OCCUPATION_TYPE,-0.31620547392090204,9.0
PREV_AMT_ANNUITY_MEAN,-0.3080985742945808,9.0
PREV_INS_AMT_INSTALMENT_MAX_MAX,-0.2656554206999722,8.0
DAYS_BIRTH,-0.22792445543834347,7.0
REGION_RATING_CLIENT_W_CITY,-0.21418217009869475,6.0
